"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_app_launch","android.tests","Mon Oct 27 04:34:01 UTC 2025","broken","Mon Oct 27 04:34:01 UTC 2025","TestingAccessibility","test_accessibility","",""
"","3618","Testing accessibility node provider","android.tests","Mon Oct 27 04:34:27 UTC 2025","passed","Mon Oct 27 04:34:31 UTC 2025","TestingAccessibility","test_accessibility","",""
